Values of 2020,,,,,
,,,,,
Country,Buddhists,Christians,Hindus,Jews,Muslims
Puerto Rico,0,96.5,0,0,0
Qatar,3.8,13.7,15.9,0,65.2
Reunion,0,87.6,4.5,0,4.2
Romania,0,100,0,0,0
Russian Federation,0,72.9,0,0,11.4
Rwanda,0,93.8,0,0,2.2
Saint Helena,0,96.5,0,0,0
Saint Kitts and Nevis,0,94.6,1.5,0,0
Saint Lucia,0,91.5,0,0,0
Saint Pierre and Miquelon,0,94.7,0,0,0
Saint Vincent and the Grenadines,0,88.7,3.4,0,1.5
Samoa,0,96.9,0,0,0
San Marino,0,91.6,0,0,0
Sao Tome and Principe,0,81.1,0,0,0
Saudi Arabia,0,4.4,1.3,0,92.7
Senegal,0,3.3,0,0,96.6
Serbia,0,91.6,0,0,5
Seychelles,0,94,2.1,0,1.1
Sierra Leone,0,20.4,0,0,78.5
Singapore,32.2,17.7,6.5,0,16.1
Slovakia,0,83.6,0,0,0
Slovenia,0,77.2,0,0,3.9
Solomon Islands,0,97.4,0,0,0
Somalia,0,0,0,0,100
South Africa,0,80.8,1,0,1.9
South Korea,21.9,30.1,0,0,0
Spain,0,75.2,0,0,3.3
Sri Lanka,68.6,7.2,13.7,0,10.4
Sudan,0,5.4,0,0,90.7
Suriname,0,52.3,18.8,0,14.3
Swaziland,0,88.7,0,0,0
Sweden,0,63,0,0,6.5
Switzerland,0,70,0,0,5.6
Syrian Arab Republic,0,5.2,0,0,92.8
Taiwan,21.2,5.8,0,0,0
Tajikistan,0,1.8,0,0,96.4
United Republic of Tanzania,0,63.1,0,0,34.1
Thailand,92.6,0,0,0,6
Timor-Leste,0,100,0,0,0
Togo,0,42.3,0,0,14
Tokelau,0,100,0,0,0
Tonga,0,98.9,0,0,0
Trinidad and Tobago,0,66.3,22.3,0,5.8
Tunisia,0,0,0,0,100
Turkey,0,0,0,0,98
Turkmenistan,0,6.4,0,0,93
Turks and Caicos Islands,0,92.1,0,0,0
Tuvalu,0,96.7,0,0,0
Uganda,0,86.1,0,0,12.1
Ukraine,0,85.6,0,0,1.7
United Arab Emirates,2.4,12.9,7.7,0,75
United Kingdom,0,59.1,1.6,0,6.1
United States of America,1.2,75.5,0,1.7,1.1
U.S. Virgin Islands,0,94.8,0,0,0
Uruguay,0,57,0,0,0
Uzbekistan,0,2,0,0,97.1
Vanuatu,0,93.5,0,0,0
Venezuela (Bolivarian Republic of),0,89.5,0,0,0
Viet Nam,16.2,8.4,0,0,0
Wallis and Futuna,0,97.4,0,0,0
Western Sahara,0,0,0,0,100
Yemen,0,0,0,0,100
Zambia,0,97.4,0,0,0
Zimbabwe,0,87.1,0,0,0
South Sudan,0,60.5,0,0,6.2
Curacao,0,93.9,0,0,0
Sint Maarten,0,93.9,0,0,0
Caribbean Netherlands,0,93.9,0,0,0
